"Date","Time","Open","High","Low","Close","Volume"
10/21/2002,02:00,69.195,69.2,69.19,69.195,0
10/21/2002,02:01,69.195,69.2,69.185,69.19,0
10/21/2002,02:02,69.19,69.205,69.185,69.2,0
10/21/2002,02:03,69.205,69.215,69.2,69.215,0
10/21/2002,02:04,69.205,69.21,69.205,69.21,0
10/21/2002,02:05,69.215,69.225,69.205,69.205,0
10/21/2002,02:06,69.21,69.22,69.195,69.205,0
10/21/2002,02:07,69.205,69.21,69.2,69.2,0
10/21/2002,02:08,69.195,69.205,69.19,69.195,0
10/21/2002,02:09,69.205,69.205,69.19,69.195,0
10/21/2002,02:10,69.2,69.2,69.15,69.15,0
10/21/2002,02:11,69.15,69.15,69.12,69.125,0
10/21/2002,02:12,69.145,69.15,69.13,69.15,0
10/21/2002,02:13,69.155,69.155,69.15,69.15,0
10/21/2002,02:14,69.15,69.155,69.14,69.155,0
10/21/2002,02:15,69.15,69.16,69.15,69.15,0
10/21/2002,02:16,69.145,69.15,69.13,69.14,0
10/21/2002,02:17,69.145,69.16,69.135,69.16,0
10/21/2002,02:18,69.15,69.16,69.14,69.14,0
10/21/2002,02:19,69.15,69.15,69.14,69.145,0
10/21/2002,02:20,69.145,69.155,69.145,69.155,0
10/21/2002,02:21,69.16,69.185,69.16,69.18,0
10/21/2002,02:22,69.18,69.185,69.17,69.18,0
10/21/2002,02:23,69.18,69.185,69.165,69.175,0
10/21/2002,02:24,69.17,69.17,69.155,69.155,0
10/21/2002,02:25,69.165,69.175,69.15,69.165,0
10/21/2002,02:26,69.165,69.165,69.165,69.165,0
10/21/2002,02:27,69.165,69.165,69.145,69.145,0
10/21/2002,02:28,69.145,69.155,69.145,69.155,0
10/21/2002,02:29,69.155,69.165,69.15,69.165,0
10/21/2002,02:30,69.16,69.16,69.15,69.15,0
10/21/2002,02:31,69.155,69.175,69.15,69.155,0
10/21/2002,02:32,69.145,69.145,69.135,69.14,0
10/21/2002,02:33,69.14,69.14,69.12,69.125,0
10/21/2002,02:34,69.13,69.13,69.105,69.105,0
10/21/2002,02:35,69.13,69.14,69.12,69.14,0
10/21/2002,02:36,69.145,69.17,69.145,69.16,0
10/21/2002,02:37,69.17,69.17,69.16,69.165,0
10/21/2002,02:38,69.155,69.165,69.145,69.16,0
10/21/2002,02:39,69.165,69.17,69.145,69.17,0
10/21/2002,02:40,69.165,69.17,69.16,69.165,0
10/21/2002,02:41,69.16,69.165,69.155,69.165,0
10/21/2002,02:42,69.16,69.165,69.13,69.135,0
10/21/2002,02:43,69.13,69.14,69.13,69.135,0
10/21/2002,02:44,69.14,69.145,69.135,69.135,0
10/21/2002,02:45,69.14,69.145,69.135,69.135,0
10/21/2002,02:46,69.135,69.135,69.105,69.11,0
10/21/2002,02:47,69.115,69.125,69.105,69.12,0
10/21/2002,02:48,69.125,69.13,69.105,69.13,0
10/21/2002,02:49,69.13,69.145,69.125,69.145,0
10/21/2002,02:50,69.145,69.155,69.125,69.155,0
10/21/2002,02:51,69.14,69.145,69.095,69.11,0
10/21/2002,02:52,69.115,69.13,69.115,69.125,0
10/21/2002,02:53,69.13,69.145,69.12,69.14,0
10/21/2002,02:54,69.135,69.14,69.11,69.13,0
10/21/2002,02:55,69.14,69.145,69.115,69.125,0
10/21/2002,02:56,69.125,69.17,69.125,69.17,0
10/21/2002,02:57,69.165,69.235,69.165,69.215,0
10/21/2002,02:58,69.23,69.235,69.215,69.22,0
10/21/2002,02:59,69.225,69.225,69.2,69.205,0
10/21/2002,03:00,69.215,69.225,69.2,69.22,0
10/21/2002,03:01,69.215,69.24,69.215,69.24,0
10/21/2002,03:02,69.24,69.26,69.235,69.26,0
10/21/2002,03:03,69.26,69.26,69.2,69.205,0
10/21/2002,03:04,69.2,69.215,69.19,69.195,0
10/21/2002,03:05,69.21,69.245,69.2,69.22,0
10/21/2002,03:06,69.235,69.25,69.22,69.245,0
10/21/2002,03:07,69.24,69.245,69.215,69.215,0
10/21/2002,03:08,69.205,69.245,69.2,69.21,0
10/21/2002,03:09,69.205,69.24,69.2,69.24,0
10/21/2002,03:10,69.23,69.24,69.19,69.205,0
10/21/2002,03:11,69.205,69.245,69.2,69.245,0
10/21/2002,03:12,69.21,69.22,69.175,69.19,0
10/21/2002,03:13,69.185,69.19,69.175,69.185,0
10/21/2002,03:14,69.185,69.26,69.185,69.195,0
10/21/2002,03:15,69.185,69.19,69.175,69.175,0
10/21/2002,03:16,69.185,69.235,69.18,69.185,0
10/21/2002,03:17,69.23,69.24,69.18,69.205,0
10/21/2002,03:18,69.2,69.235,69.185,69.235,0
10/21/2002,03:19,69.235,69.235,69.2,69.205,0
10/21/2002,03:20,69.195,69.24,69.195,69.205,0
10/21/2002,03:21,69.205,69.245,69.205,69.21,0
10/21/2002,03:22,69.235,69.24,69.205,69.215,0
10/21/2002,03:23,69.195,69.21,69.19,69.19,0
10/21/2002,03:24,69.2,69.2,69.19,69.2,0
10/21/2002,03:25,69.21,69.215,69.195,69.21,0
10/21/2002,03:26,69.21,69.21,69.19,69.19,0
10/21/2002,03:27,69.2,69.205,69.19,69.2,0
10/21/2002,03:28,69.19,69.195,69.18,69.185,0
10/21/2002,03:29,69.18,69.185,69.165,69.165,0
10/21/2002,03:30,69.17,69.175,69.16,69.165,0
10/21/2002,03:31,69.16,69.185,69.155,69.165,0
10/21/2002,03:32,69.165,69.18,69.165,69.17,0
10/21/2002,03:33,69.17,69.18,69.155,69.16,0
10/21/2002,03:34,69.16,69.17,69.15,69.17,0
10/21/2002,03:35,69.165,69.18,69.155,69.18,0
10/21/2002,03:36,69.155,69.18,69.155,69.18,0
10/21/2002,03:37,69.185,69.19,69.185,69.19,0
10/21/2002,03:38,69.19,69.195,69.185,69.19,0
10/21/2002,03:39,69.19,69.215,69.19,69.2,0